recommendation_id,language,review,voted_up,votes_up,votes_funny,weighted_vote_score,comment_count,steam_purchase,received_for_free,written_during_early_access,timestamp_created,timestamp_updated,playtime_forever_minutes,playtime_at_review_minutes,num_games_owned,author_num_reviews,created_at,updated_at,playtime_forever_hours,playtime_at_review_hours,review_date,review_year,review_month,review_length_chars,review_word_count,review_length_category,detected_language,contains_non_latin_script,target,actual_label,predicted_label
214863193,english,♥♥♥♥♥,False,0,0,0.4347825944423675,0,False,False,False,1767307174,1767307174,17.0,17.0,71,14,2026-01-01 22:39:34+00:00,2026-01-01 22:39:34+00:00,0.2833333333333333,0.2833333333333333,2026-01-01,2026,2026-01,5,1,Very short,unknown_short,False,0,Not recommended,Recommended
217862723,english,"TL;DR - If you're the freshest of noobs to this game like us, start with ZalzE's ""Novice to Expert Guide"" https://steamcommunity.com/sharedfiles/filedetails/?id=1956458864 

At 3 hours into this game, I really really wanted to like this game. But after being dropped into this world with not a single hint of what to do but ""survive"" I repeatedly died, looked up videos on youtube just to learn nothing we gave up. But I am a persistent b**** so I came back and looked for more information. Everything I found started at Chapter 1, but I needed a Chapter 0. I didn't know how to do anything they were telling me to do in Chapter 1. This guide may have saved the game for me. Now I feel equipped to hop back in and hopefully come back in a few hundred hours and re-review what I have experienced. Thank you, ZalzE!",True,0,0,0.5,0,True,False,False,1770559691,1770559691,1297.0,188.0,193,2,2026-02-08 14:08:11+00:00,2026-02-08 14:08:11+00:00,21.616666666666667,3.1333333333333333,2026-02-08,2026,2026-02,813,147,Very long,en,False,1,Recommended,Not recommended
224714985,english,I starved.,True,0,0,0.5,0,False,False,False,1777844305,1777844305,3863.0,3780.0,0,3,2026-05-03 21:38:25+00:00,2026-05-03 21:38:25+00:00,64.38333333333334,63.0,2026-05-03,2026,2026-05,10,2,Very short,unknown_short,False,1,Recommended,Not recommended
217311436,english,this game is so peak that,True,0,0,0.5,0,False,True,False,1769918529,1769918529,2287.0,1126.0,5,2,2026-02-01 04:02:09+00:00,2026-02-01 04:02:09+00:00,38.11666666666667,18.766666666666666,2026-02-01,2026,2026-02,25,6,Short,en,False,1,Recommended,Not recommended
229964332,english,game,True,0,0,0.5,0,True,False,False,1783537935,1783537935,1196.0,386.0,0,3,2026-07-08 19:12:15+00:00,2026-07-08 19:12:15+00:00,19.933333333333334,6.433333333333334,2026-07-08,2026,2026-07,4,1,Very short,unknown_short,False,1,Recommended,Not recommended
225781408,english,This game makes you question your sanity and the friendships you have. All it takes is reviving your friend for the 5th time because bro forgot to eat or build a fire right before a boss for you to look for other people to play with. 10/10 would purchase again.,True,0,0,0.5,0,False,False,False,1779040124,1779040124,2365.0,2358.0,0,2,2026-05-17 17:48:44+00:00,2026-05-17 17:48:44+00:00,39.41666666666666,39.3,2026-05-17,2026,2026-05,261,50,Medium,en,False,1,Recommended,Not recommended
214053419,english,its ♥♥♥♥♥♥♥♥,False,1,0,0.4967320263385772,0,False,False,False,1766546930,1766546930,24722.0,23356.0,0,10,2025-12-24 03:28:50+00:00,2025-12-24 03:28:50+00:00,412.03333333333336,389.26666666666665,2025-12-24,2025,2025-12,12,2,Very short,unknown_short,False,0,Not recommended,Recommended
210909001,english,ts is not ts,True,0,0,0.5,0,False,False,False,1764172626,1764172626,70581.0,68766.0,0,5,2025-11-26 15:57:06+00:00,2025-11-26 15:57:06+00:00,1176.35,1146.1,2025-11-26,2025,2025-11,12,4,Very short,unknown_short,False,1,Recommended,Not recommended
223660983,english,meh,False,1,0,0.4551724195480346,0,True,False,False,1776634157,1776634157,129.0,129.0,41,4,2026-04-19 21:29:17+00:00,2026-04-19 21:29:17+00:00,2.15,2.15,2026-04-19,2026,2026-04,3,1,Very short,unknown_short,False,0,Not recommended,Recommended
227987516,english,"very fun game indeed lots and lots of content for the game's cost
a shame microtransactions are a thing but tehre are ways to get things free to play.
full of content and theres still more updates!
a shame that after celestial champion the game gets boring because all the bosses after that are too difficult to set up",True,0,0,0.5,0,True,False,False,1781476117,1781476117,15438.0,13546.0,36,12,2026-06-14 22:28:37+00:00,2026-06-14 22:28:37+00:00,257.3,225.76666666666668,2026-06-14,2026,2026-06,321,59,Long,en,False,1,Recommended,Not recommended
